ABRSY7614-0554186.0+418N, HB60 2HB5740 NO,HB-60,5740,23,23,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,5740,23,23,12.5,0.8,0.8,0,,
ABRSY7614-0609762.0+418N, HB40 2HB5770 NO,HB-40,5770,24,24,5.0,5.0,0,0,CLAAS 2HB,120.93,90,883,5770,24,24,12.5,0.8,0.8,0,,
ABRSY7614-0749886.1+418N, HB60 3HB8000 NO,HB-60,8000,32,32,5.0,5.0,0,0,CLAAS 3HB,120.93,140,1373,8000,32,32,12.5,0.8,0.8,0,,
ABRSY7614-0644961.0+418N, HB60 3HB8100 NO,HB-60,8100,33,33,5.0,5.0,0,0,CLAAS 3HB,120.93,140,1373,8100,33,33,12.5,0.8,0.8,0,,
ABRSY7614-0067746.0+418N, HB40 6HB9350 NO,HB-40,9350,38,38,5.0,5.0,0,0,CLAAS 6HB,120.93,275,2697,9350,38,38,12.5,0.8,0.8,0,,
ABRSY7614-0067747.1+418N, HB60 7HB9350 NO,HB-40,9350,38,38,5.0,5.0,0,0,CLAAS 7HB,120.93,275,2697,9350,38,38,12.5,0.8,0.8,0,,
ABRSY7614-0549011.0+418N, HB40 2HB1750 NO,HB-40,1750,7,7,5.0,3.0,0,0,CLAAS 2HB,120.93,90,883,1750,7,7,12.5,0.8,0.8,0,,
ABRSY7614-0661031.2+418N, HB60 2HB1910 NO,HB-60,1910,8,8,5.0,3.0,0,0,CLAAS 2HB,120.93,90,883,1910,8,8,12.5,0.8,0.8,0,,
ABRSY7614-0667249.0+418N, HB40 2HB2050 NO,HB-40,2050,9,9,5.0,3.0,0,0,CLAAS 2HB,120.93,90,883,2050,9,9,12.5,0.8,0.8,0,,
ABRSY7614-0660504.0+418N, HB40 4HB1825 NO,HB-40,1825,8,8,5.0,3.0,0,0,CLAAS 4HB,120.93,180,1765,1825,8,8,12.5,0.8,0.8,0,,
ABRSY7614-0554361.1+418N, HB40 4HB1845 NO,HB-40,1845,8,8,5.0,3.0,0,0,CLAAS 4HB,120.93,180,1765,1845,8,8,12.5,0.8,0.8,0,,
ABRSY7614-0660569.0+418N, HB40 4HB1865 NO,HB-40,1865,8,8,5.0,3.0,0,0,CLAAS 4HB,120.93,180,1765,1865,8,8,12.5,0.8,0.8,0,,
ABRSY7614-2314678.0+418N, HB60 4HB1890 NO,HB-60,1890,8,8,5.0,3.0,0,0,CLAAS 4HB,120.93,180,1765,1890,8,8,12.5,0.8,0.8,0,,
AWRSZ5100-A80,STD A80,STD,2058,12.5,12,5.0,0,0,0,RMA A,105.11,23,226,12.5,0.6,0.6,9,0.8,0.8,0,,
AWRSZ5100-A81,STD A81,STD,2083.4,12.5,12,5.0,0,0,0,RMA A,105.11,23,226,12.5,0.6,0.6,9,0.8,0.8,0,,
AWRSZ5100-A82,STD A82,STD,2108.8,12.5,12,5.0,0,0,0,RMA A,105.11,23,226,12.5,0.6,0.6,9,0.8,0.8,0,,
STD A127,A127,STD,3260.3,3.5,3,5.0,0,0,0,RMA A,105.11,23,226,12.5,0.7,0.7,9,0.9,0.9,0,,
STD A128,A128,STD,3285.7,3.5,3,5.0,0,0,0,RMA A,105.11,23,226,12.5,0.4,0.4,9,0.8,0.8,0,,
STD A129,A129,STD,3311.1,3.5,3,5.0,0,0,0,RMA A,105.11,23,226,12.5,0.4,0.4,9,0.8,0.8,0,,
